sample_id,crop_label,N,P,K,pH,soil_moisture,temperature,humidity,rainfall,solar_radiation,elevation,irrigation,previous_crop
S1011405,mustard,0.372,57.33,113.67,6.8,2.89,13.47,65.06,331.7,16.52,1475.63,rainfed,vegetable
S1096852,barley,0.506,36.69,271.04,6.91,1.5,18.36,69.55,321.23,6.62,142.62,rainfed,maize
S1016130,barley,0.272,22.04,150.99,6.73,9.2,16.52,58.12,94.92,24.18,1865.93,irrigated,pulses
S1019792,mustard,0.307,58.36,77.83,5.03,7.51,16.1,73.77,152.68,15.97,1243.14,rainfed,pulses
S1089577,wheat,0.503,35.44,116.03,6.95,10.93,7.86,55.95,200.21,16.01,2424.45,rainfed,pulses
S1040163,potato,0.3,32.07,206.16,5.86,7.27,8.45,56.31,463.94,22.24,693.34,irrigated,vegetable
S1031776,sugarcane,0.334,46.16,155.77,5.97,17.65,27.1,56.87,328.96,21.22,238.31,irrigated,rice
S1025330,rice,0.243,18.9,273.62,8.3,9.86,24.44,58.4,59.32,20.4,104.62,irrigated,vegetable
S1079156,barley,0.388,43.32,209.06,7.54,0.4,12.79,82.63,60.49,19.61,2071.01,rainfed,maize
S1051685,mustard,0.376,36.37,214.4,6.41,8.51,11.25,56.61,173.06,13.3,1517.59,irrigated,vegetable
S1075498,mustard,0.485,38.48,20.94,7.58,18.21,14.78,38.12,423.49,13.15,2482.56,rainfed,fallow
S1004727,barley,0.192,40.51,188.99,7.45,15.66,15.11,56.45,489.52,19.48,2109.7,rainfed,wheat
S1085198,rice,0.23,23.26,104.95,5.83,17.91,15.39,45.75,688.19,23.47,826.33,rainfed,wheat
S1035795,potato,0.379,40.83,146.44,8.46,4.03,15.63,52.04,399.03,17.64,1616.71,rainfed,fallow
S1012256,rice,0.398,26.92,142.01,5.97,13.71,25.06,80.76,160.5,19.99,786.37,irrigated,wheat
S1035718,mustard,0.361,48.62,261.74,6.5,9.1,6.0,40.54,318.93,18.23,2453.86,rainfed,vegetable
S1070551,sugarcane,0.355,50.3,233.58,7.58,15.57,18.62,69.06,866.34,16.39,1840.26,rainfed,maize
S1054374,mustard,0.352,1.0,185.82,7.63,5.87,17.61,62.11,359.85,17.15,1318.74,irrigated,wheat
S1039691,soybean,0.177,26.07,150.74,6.2,18.99,12.13,77.15,383.57,10.4,1445.18,irrigated,vegetable
S1093702,wheat,0.177,32.95,134.21,6.66,19.55,25.28,50.23,491.68,16.43,479.96,irrigated,wheat
S1073691,wheat,0.548,20.99,127.4,6.27,8.5,17.18,100.0,500.95,22.14,1122.65,rainfed,vegetable
S1098070,sugarcane,0.367,29.58,279.19,5.47,12.1,21.95,50.91,234.79,18.57,233.73,irrigated,rice
S1000575,wheat,0.212,13.86,136.29,7.09,5.73,13.88,74.57,331.51,15.72,2373.8,irrigated,vegetable
S1084610,soybean,0.449,36.58,184.63,3.79,20.82,9.64,69.15,790.85,19.87,1232.3,irrigated,rice
S1061769,mustard,0.535,45.09,294.52,6.34,10.62,20.86,63.3,279.62,24.36,856.8,irrigated,maize
S1032260,rice,0.19,41.47,203.5,6.67,17.84,25.6,68.65,462.67,22.72,1239.49,rainfed,vegetable
S1082199,maize,0.368,21.94,194.22,6.13,20.78,17.66,50.35,353.17,22.53,807.48,rainfed,vegetable
S1036290,mustard,0.322,40.3,236.87,4.69,17.24,22.46,46.66,85.8,23.44,437.28,rainfed,pulses
S1078449,lentil,0.49,5.37,226.4,7.48,14.28,22.36,72.67,270.9,13.93,166.0,rainfed,vegetable
S1060055,wheat,0.213,28.32,150.85,7.24,10.93,30.42,68.17,362.91,23.81,599.43,rainfed,maize
S1045948,mustard,0.286,10.22,135.05,6.41,7.28,18.26,53.77,160.87,6.91,1929.37,rainfed,pulses
S1028177,barley,0.34,19.58,142.32,7.03,5.25,15.91,73.41,498.14,9.34,584.2,rainfed,maize
S1084463,soybean,0.322,30.11,246.21,7.07,4.01,23.61,44.07,520.21,18.67,32.24,rainfed,maize
S1000578,lentil,0.237,24.16,184.42,6.58,10.2,18.2,50.23,89.12,18.3,1230.29,irrigated,wheat
S1030959,maize,0.222,20.91,186.97,6.4,13.66,13.86,57.48,607.8,12.47,2073.08,irrigated,maize
S1064290,rice,0.215,39.33,172.06,6.28,15.94,26.78,71.35,551.03,12.83,51.82,rainfed,rice
S1014531,maize,0.305,39.6,273.02,7.02,11.91,16.78,28.91,77.02,17.93,2456.12,rainfed,rice
S1017933,soybean,0.402,17.94,185.78,7.13,12.71,24.54,63.32,942.12,9.02,324.73,rainfed,wheat
S1033608,potato,0.508,55.61,125.46,5.73,8.99,23.47,60.56,417.94,25.8,579.91,rainfed,vegetable
S1049959,mustard,0.296,12.82,268.54,6.29,11.65,11.7,33.09,297.58,14.06,1053.17,irrigated,pulses
S1066598,rice,0.356,42.85,138.51,5.38,9.75,31.5,53.54,967.93,18.5,807.54,rainfed,pulses
S1099089,potato,0.214,23.47,88.4,6.68,12.06,17.38,34.59,66.06,19.81,1883.72,irrigated,wheat
S1034451,rice,0.096,33.43,141.84,6.08,17.8,27.14,43.24,294.39,14.78,187.38,rainfed,wheat
S1034080,wheat,0.156,21.8,238.04,7.01,10.21,0.29,58.34,444.99,17.33,2360.51,rainfed,pulses
S1063587,wheat,0.201,49.39,300.87,4.85,6.95,30.75,81.02,34.47,19.08,308.56,rainfed,vegetable
S1004293,barley,0.21,21.31,123.98,4.68,14.08,8.94,59.29,153.1,10.42,2270.05,rainfed,wheat
S1069102,mustard,0.426,30.63,96.32,5.94,9.19,19.35,63.83,480.67,17.09,49.48,rainfed,wheat
S1086411,lentil,0.335,24.09,92.87,6.83,0.55,12.27,49.21,36.6,10.8,1032.22,rainfed,maize
S1099476,potato,0.377,53.58,81.01,6.04,9.54,30.8,51.19,26.23,11.94,678.74,irrigated,pulses
S1053929,mustard,0.309,25.85,234.16,6.8,16.29,10.63,66.86,255.39,23.42,1583.29,irrigated,pulses
S1087070,rice,0.291,28.72,178.05,6.94,6.85,28.81,51.58,343.83,19.45,759.89,rainfed,rice
S1065083,rice,0.467,43.52,231.08,5.45,17.01,9.49,83.25,527.52,16.04,1216.18,rainfed,pulses
S1030712,soybean,0.197,26.69,171.02,5.95,11.27,18.6,41.49,792.35,18.37,1568.02,irrigated,fallow
S1049182,millet,0.386,42.6,214.98,6.54,3.95,14.28,61.7,191.98,8.0,489.95,irrigated,pulses
S1057234,lentil,0.388,53.49,170.49,8.47,14.66,18.79,76.71,547.69,21.68,994.49,rainfed,rice
S1015663,sugarcane,0.116,28.47,156.89,6.36,8.52,19.73,56.98,308.42,25.07,946.73,rainfed,rice
S1019966,barley,0.386,41.87,219.79,6.21,9.56,13.74,66.13,313.37,13.94,1845.55,rainfed,maize
S1091912,rice,0.34,32.52,141.75,6.83,19.62,24.04,51.16,350.61,19.8,219.69,rainfed,rice
S1091957,soybean,0.342,22.93,136.5,7.17,1.83,30.72,53.76,100.47,13.34,474.8,rainfed,maize
S1081346,lentil,0.212,31.99,253.97,7.84,5.9,24.36,37.54,56.43,12.23,1969.46,irrigated,fallow
S1055325,wheat,0.529,58.3,310.29,6.08,14.44,18.5,73.45,346.13,18.91,1989.39,rainfed,maize
S1029857,maize,0.141,18.6,126.65,7.28,14.3,23.15,62.62,649.8,19.14,180.55,rainfed,wheat
S1071222,wheat,0.454,57.03,200.32,6.08,0.91,17.52,79.32,265.83,20.13,1133.28,rainfed,pulses
S1052458,mustard,0.488,31.95,156.8,6.01,16.18,11.68,63.08,451.33,21.95,789.2,rainfed,pulses
S1088345,rice,0.431,37.11,259.48,6.3,17.26,34.76,60.08,107.09,12.81,484.35,irrigated,maize
S1082363,rice,0.299,36.6,124.65,7.23,14.22,18.06,43.39,296.38,17.47,679.46,rainfed,vegetable
S1065349,rice,0.375,43.57,132.23,6.42,3.88,24.44,71.43,434.33,16.03,1315.51,irrigated,wheat
S1059649,potato,0.19,22.46,170.09,6.2,15.84,22.95,53.46,129.71,20.25,469.61,rainfed,wheat
S1044952,lentil,0.293,19.72,130.12,7.38,11.59,9.86,78.34,58.84,20.79,930.85,irrigated,rice
S1039525,rice,0.285,42.71,171.9,6.41,15.4,19.46,76.31,213.58,23.68,61.97,rainfed,fallow
S1013935,millet,0.364,27.72,244.56,6.43,7.31,17.67,51.35,246.16,19.47,458.66,irrigated,maize
S1093780,mustard,0.408,39.31,316.43,6.91,6.26,13.09,45.76,66.69,15.09,1058.17,irrigated,pulses
S1089884,rice,0.382,29.41,145.27,6.22,7.88,15.16,69.0,529.51,15.68,254.11,irrigated,rice
S1081143,soybean,0.282,26.85,233.97,7.55,5.74,18.17,47.91,393.18,16.34,862.22,rainfed,vegetable
S1095799,potato,0.27,9.58,66.73,4.81,12.13,3.25,44.8,71.65,9.62,2161.97,rainfed,pulses
S1089404,maize,0.353,57.83,205.5,6.8,0.97,21.16,76.47,85.68,16.79,1774.0,rainfed,pulses
S1055223,rice,0.378,33.33,201.95,6.02,8.94,14.13,68.65,166.94,13.08,1567.81,rainfed,maize
S1073645,rice,0.499,19.75,189.85,5.02,15.09,18.91,66.67,263.61,18.82,1422.22,irrigated,maize
S1066293,maize,0.316,17.61,113.39,6.44,11.94,7.83,41.06,193.59,20.5,2440.34,irrigated,fallow
S1065539,lentil,0.279,33.73,244.96,7.2,11.91,25.8,89.29,70.71,9.24,226.54,rainfed,fallow
S1028110,lentil,0.298,16.14,130.52,7.13,8.2,9.54,60.79,228.4,24.58,2119.22,rainfed,pulses
S1041928,soybean,0.246,28.97,163.06,4.54,12.04,21.69,44.69,220.33,15.64,378.69,irrigated,pulses
S1086546,mustard,0.327,42.74,93.54,6.93,14.94,10.49,90.12,760.73,15.84,2071.01,rainfed,wheat
S1082585,wheat,0.372,48.82,219.54,5.99,11.88,21.85,60.55,123.99,16.96,1495.5,rainfed,maize
S1038603,wheat,0.262,27.38,117.23,6.62,15.35,9.66,78.31,189.52,15.95,2362.62,irrigated,vegetable
S1091657,potato,0.345,44.01,170.55,6.21,9.0,14.1,48.73,26.52,13.81,1631.95,irrigated,maize
S1062786,potato,0.462,54.58,194.93,7.75,20.99,14.67,45.24,135.06,8.92,2350.67,rainfed,wheat
S1084340,sugarcane,0.462,52.37,226.45,6.25,20.95,13.49,69.5,215.97,22.82,1853.01,irrigated,pulses
S1039874,maize,0.287,46.12,80.82,6.69,7.5,27.53,38.31,193.82,29.39,264.86,rainfed,wheat
S1078468,mustard,0.375,29.77,191.38,7.14,0.22,12.61,61.18,643.19,12.6,260.55,rainfed,pulses
S1031631,soybean,0.243,32.93,259.55,6.31,5.04,8.03,79.01,356.14,22.67,2133.46,rainfed,vegetable
S1014952,mustard,0.278,48.09,133.67,5.25,5.6,13.1,47.1,236.59,12.53,1959.78,irrigated,vegetable
S1039331,sugarcane,0.436,36.61,223.7,5.02,7.03,28.71,40.21,364.64,16.72,1293.6,irrigated,vegetable
S1048587,barley,0.514,29.69,176.21,5.3,13.52,17.47,60.95,403.7,16.58,1183.2,irrigated,maize
S1083594,wheat,0.341,40.97,219.86,6.48,8.12,26.04,30.68,462.62,21.12,731.71,irrigated,wheat
S1041487,lentil,0.348,30.11,199.43,6.0,5.72,23.7,53.67,232.62,17.38,1411.44,rainfed,maize
S1039627,rice,0.137,26.84,265.36,7.19,12.62,18.01,61.46,549.59,21.08,597.0,irrigated,vegetable
S1087894,wheat,0.464,40.23,150.11,6.58,10.64,14.37,58.35,514.07,17.8,1881.15,rainfed,rice
S1026303,wheat,0.149,25.75,61.43,6.6,8.62,23.96,38.59,418.24,14.64,628.29,rainfed,fallow
S1067403,lentil,0.377,37.31,292.45,7.46,7.35,10.55,38.82,287.63,18.35,2174.32,rainfed,pulses
S1098084,wheat,0.09,18.56,283.37,5.59,7.25,20.93,91.11,325.59,21.73,610.46,irrigated,wheat
S1095601,potato,0.459,44.36,191.55,5.91,18.8,19.55,73.06,152.36,25.91,2208.32,rainfed,maize
S1005019,maize,0.289,18.91,272.47,6.81,1.15,13.94,68.81,459.12,15.93,2144.84,irrigated,maize
S1005223,millet,0.244,30.97,79.49,5.82,11.69,25.18,61.3,557.64,21.38,886.99,rainfed,rice
S1015780,rice,0.208,22.2,173.42,6.74,4.7,32.83,60.43,122.25,14.93,247.38,irrigated,pulses
S1045556,barley,0.384,35.64,110.52,5.8,0.1,13.88,75.49,208.65,12.49,2045.97,irrigated,rice
S1012896,rice,0.385,25.29,151.94,5.56,1.62,30.48,89.46,234.5,15.89,1234.5,irrigated,maize
S1034304,sugarcane,0.405,38.83,168.05,6.46,20.58,20.69,70.32,920.3,22.06,2062.56,irrigated,wheat
S1093322,wheat,0.367,53.36,212.88,7.4,14.39,14.33,58.7,315.83,15.03,2182.42,irrigated,pulses
S1005324,lentil,0.467,49.83,243.28,6.94,21.89,19.82,39.66,230.2,13.19,137.42,irrigated,maize
S1052925,lentil,0.365,42.82,126.6,6.01,0.99,16.71,40.47,317.35,11.88,1459.98,rainfed,vegetable
S1062864,mustard,0.286,27.33,161.13,6.42,16.11,18.57,68.64,621.57,18.93,1647.14,rainfed,rice
S1008018,soybean,0.47,26.72,325.13,6.62,12.21,16.38,64.0,634.48,16.7,1140.81,rainfed,rice
S1082944,mustard,0.01,26.35,158.45,6.15,7.13,20.92,60.96,126.07,19.64,433.31,rainfed,wheat
S1090376,sugarcane,0.342,36.34,146.43,7.06,4.77,14.92,51.43,461.25,21.12,1864.17,rainfed,wheat
S1041720,wheat,0.231,31.65,214.61,6.01,8.53,13.73,53.81,103.3,20.86,1019.47,irrigated,pulses
S1000866,rice,0.196,17.1,218.6,6.94,6.93,20.48,52.34,415.36,21.43,388.1,irrigated,wheat
S1098443,rice,0.471,23.04,228.4,7.14,4.42,19.74,55.32,445.1,23.28,548.5,rainfed,pulses
S1083039,barley,0.369,34.14,139.68,6.99,19.05,9.7,42.43,336.09,19.78,1528.75,irrigated,fallow
S1013924,maize,0.252,22.77,172.04,4.43,12.77,14.31,59.7,784.04,27.76,1394.87,rainfed,wheat
S1079892,barley,0.189,38.14,178.8,5.94,10.43,18.81,64.53,485.5,22.9,868.61,irrigated,rice
S1031183,wheat,0.454,43.59,106.29,6.59,0.25,23.43,35.1,695.94,12.56,996.37,rainfed,pulses
S1013799,barley,0.303,42.14,214.2,8.1,12.62,9.09,52.23,232.84,21.06,2021.28,rainfed,rice
S1040988,lentil,0.399,42.71,263.33,6.27,4.5,20.82,46.0,159.21,22.86,661.56,rainfed,wheat
S1066733,potato,0.088,41.8,217.11,5.53,12.38,17.06,47.61,238.13,16.28,1073.44,rainfed,rice
S1078330,mustard,0.154,28.12,109.35,7.26,19.66,17.18,40.6,143.04,12.33,1347.64,rainfed,vegetable
S1024378,rice,0.244,43.6,205.01,6.67,0.82,27.88,47.0,61.27,15.91,38.44,rainfed,vegetable
S1023414,millet,0.346,22.04,190.94,7.07,9.7,18.42,56.89,258.31,17.88,1438.31,rainfed,fallow
S1097559,sugarcane,0.249,26.42,99.47,6.92,11.81,11.01,73.71,395.87,13.52,619.15,rainfed,pulses
S1022992,soybean,0.405,33.74,187.38,6.08,6.89,24.5,49.77,741.95,13.53,9.04,irrigated,wheat
S1003231,sugarcane,0.399,48.7,141.75,7.41,9.54,11.01,85.02,65.18,14.2,1519.38,irrigated,maize
S1041995,rice,0.378,40.89,68.73,6.38,7.7,12.26,84.29,131.61,17.38,2188.81,irrigated,pulses
S1049187,lentil,0.353,41.16,142.94,6.65,9.06,20.06,53.17,319.8,20.5,1084.77,rainfed,maize
S1022514,soybean,0.61,51.6,198.71,6.06,15.21,20.87,58.3,249.21,19.13,1199.22,irrigated,wheat
S1021325,soybean,0.464,46.52,191.51,5.8,9.93,17.32,63.92,64.28,17.73,1327.14,rainfed,pulses
S1086233,wheat,0.289,27.87,197.96,7.5,10.13,8.13,40.61,346.09,14.45,1649.7,irrigated,wheat
S1088126,potato,0.376,50.99,200.86,7.26,13.34,15.43,64.95,981.33,21.37,1343.89,rainfed,pulses
S1029823,lentil,0.522,27.93,170.3,5.62,14.34,17.04,73.38,216.29,16.02,605.3,rainfed,maize
S1092484,sugarcane,0.284,41.36,110.14,5.77,11.93,26.47,65.67,181.68,9.27,124.25,rainfed,vegetable
S1068424,millet,0.123,24.81,239.28,5.97,14.87,20.7,54.86,117.88,20.83,375.53,rainfed,vegetable
S1064483,lentil,0.287,37.5,221.27,6.99,3.76,20.76,41.04,346.92,15.91,656.89,rainfed,wheat
S1051019,wheat,0.505,43.95,180.82,7.44,0.74,26.25,67.74,550.17,18.17,1341.51,rainfed,wheat
S1026753,potato,0.205,50.12,154.56,6.7,11.01,17.73,53.08,387.47,16.52,605.7,irrigated,rice
S1049963,wheat,0.378,53.59,177.99,5.38,16.5,15.12,33.87,118.35,15.4,2098.0,irrigated,fallow
S1042731,maize,0.405,47.14,150.53,6.07,14.8,28.67,65.43,445.23,20.57,1164.5,irrigated,maize
S1029056,barley,0.334,27.26,224.5,8.03,15.07,12.63,46.94,636.65,19.0,1413.51,irrigated,pulses
S1055317,rice,0.363,32.49,210.26,7.73,2.31,7.54,56.89,826.33,18.35,1063.48,irrigated,pulses
S1035496,millet,0.411,39.0,215.06,5.84,13.25,22.19,62.43,179.63,15.77,1052.76,rainfed,vegetable
S1056337,potato,0.484,20.41,256.41,5.26,2.55,25.52,57.27,11.17,18.67,449.43,rainfed,vegetable
S1079277,potato,0.111,32.11,312.55,6.19,12.6,20.89,75.2,258.82,18.91,478.14,irrigated,maize
S1005464,rice,0.623,23.44,224.06,5.48,3.72,22.02,52.22,173.97,20.34,666.99,rainfed,rice
S1070155,rice,0.313,44.57,145.03,6.53,15.12,25.45,56.6,219.36,15.92,320.35,irrigated,fallow
S1070669,potato,0.228,31.0,238.37,6.79,3.65,14.21,48.91,110.78,16.55,1956.11,irrigated,wheat
S1056013,rice,0.188,49.98,170.58,6.73,11.41,14.06,75.38,204.77,19.78,277.97,irrigated,maize
S1012085,mustard,0.149,41.77,208.96,5.91,17.32,11.42,69.68,207.8,9.94,722.29,irrigated,vegetable
S1056818,barley,0.113,11.69,104.16,6.53,6.55,21.09,43.18,262.52,19.86,2016.29,rainfed,pulses
S1020000,wheat,0.247,27.3,193.1,5.97,3.21,26.68,66.67,442.14,19.33,1825.0,irrigated,rice
S1069066,maize,0.486,51.34,216.0,7.57,13.74,20.84,50.01,257.4,11.2,1169.93,irrigated,pulses
S1050452,wheat,0.18,59.58,285.59,4.52,5.02,21.62,87.78,559.76,14.23,849.71,rainfed,pulses
S1090709,wheat,0.547,37.65,169.11,7.2,15.68,20.04,30.38,1159.09,16.79,216.82,irrigated,fallow
S1052884,maize,0.313,30.2,202.38,7.06,12.59,12.27,25.51,605.85,17.47,1928.16,irrigated,pulses
S1030963,wheat,0.282,18.92,143.38,7.19,7.56,1.45,78.14,372.28,20.05,141.69,irrigated,maize
S1034573,wheat,0.267,29.18,169.31,6.12,9.57,7.61,74.89,74.5,7.73,2134.01,rainfed,maize
S1015294,rice,0.164,24.36,193.89,6.34,12.52,18.19,73.33,272.2,19.68,814.59,rainfed,pulses
S1027918,lentil,0.281,54.4,173.36,7.24,14.43,7.85,53.26,116.47,16.22,1864.79,rainfed,rice
S1046120,mustard,0.403,27.43,208.75,7.37,11.46,9.43,81.41,163.45,24.94,1930.35,rainfed,wheat
S1035073,barley,0.18,32.87,93.97,5.93,6.97,12.83,67.11,232.06,15.46,1839.71,rainfed,maize
S1010550,barley,0.338,14.26,79.37,6.35,12.13,27.61,62.01,481.52,23.41,1088.47,rainfed,rice
S1091127,barley,0.187,35.01,110.13,6.96,5.73,24.4,21.27,100.04,18.83,109.34,irrigated,vegetable
S1000690,soybean,0.186,29.34,119.62,6.36,17.22,13.69,27.12,1079.69,20.05,809.2,rainfed,rice
S1077729,sugarcane,0.073,22.32,85.3,5.91,8.23,15.77,58.06,22.36,20.97,1875.73,rainfed,maize
S1036096,soybean,0.194,47.23,213.72,6.03,14.43,25.51,51.86,339.69,16.39,750.51,irrigated,fallow
S1065351,lentil,0.443,40.24,108.63,7.67,3.46,17.39,52.57,77.69,15.83,1096.75,rainfed,maize
S1011040,lentil,0.436,34.18,236.36,7.69,1.88,20.43,52.39,121.01,17.91,1436.07,rainfed,rice
S1004221,barley,0.403,33.46,175.13,6.03,3.98,11.39,49.42,207.77,12.86,1534.09,irrigated,wheat
S1000821,millet,0.385,29.19,183.4,8.25,12.25,35.17,43.58,32.22,17.87,11.58,rainfed,pulses
S1038128,mustard,0.211,35.41,126.69,6.75,12.57,16.52,30.11,198.41,12.34,1994.38,irrigated,maize
S1089151,potato,0.461,27.22,188.37,5.32,14.13,18.94,67.96,325.75,21.84,623.43,irrigated,rice
S1029231,rice,0.463,54.87,260.27,6.59,8.68,20.97,47.36,598.89,14.58,1107.75,rainfed,maize
S1050556,soybean,0.525,44.37,227.45,6.2,19.71,12.68,42.94,909.53,9.85,1917.7,rainfed,fallow
S1033684,lentil,0.229,41.3,239.04,6.51,10.36,19.81,66.96,221.24,18.47,1876.73,irrigated,vegetable
S1058753,rice,0.495,43.57,240.37,8.27,12.51,20.25,53.85,562.76,18.77,2405.56,irrigated,rice
S1027022,soybean,0.249,42.98,123.31,6.27,5.82,21.42,52.01,127.78,18.27,733.85,irrigated,rice
S1036905,soybean,0.372,39.04,230.99,6.51,18.67,17.37,75.44,23.24,15.84,1593.05,rainfed,wheat
S1000270,lentil,0.309,33.05,29.44,7.02,11.09,12.5,80.85,188.15,18.74,2023.4,rainfed,rice
S1008866,soybean,0.34,51.76,198.51,5.8,12.0,25.72,50.82,431.16,15.56,1045.0,rainfed,fallow
S1015006,rice,0.505,43.97,135.18,5.41,13.04,23.46,61.49,117.29,11.2,644.66,rainfed,vegetable
S1004688,wheat,0.242,33.57,188.37,6.24,8.4,13.21,65.83,246.05,19.78,1360.64,rainfed,pulses
S1081995,wheat,0.454,47.54,152.63,5.41,0.6,24.14,66.09,104.6,20.99,1513.85,rainfed,vegetable
S1084372,lentil,0.143,29.57,195.25,5.89,9.5,28.57,40.97,264.34,17.36,209.31,rainfed,vegetable
S1002514,mustard,0.114,21.78,10.0,6.82,10.02,11.22,75.75,207.37,19.21,1566.48,irrigated,maize
S1036399,rice,0.302,10.15,153.01,7.82,2.65,8.68,63.02,329.42,8.97,1702.43,irrigated,maize
S1038868,potato,0.392,36.39,171.68,5.71,14.22,-2.0,51.99,361.11,13.73,2128.51,rainfed,maize
S1058244,wheat,0.335,49.65,101.79,6.86,17.94,15.55,54.13,426.44,20.81,398.28,rainfed,fallow
S1030409,rice,0.231,32.04,84.51,6.09,16.9,14.87,83.3,1051.98,14.73,1441.58,irrigated,wheat
S1054794,rice,0.508,33.79,230.34,7.69,9.04,12.46,88.81,142.93,21.17,1154.13,irrigated,rice
S1019263,maize,0.439,40.6,108.89,5.71,2.65,28.69,68.72,411.56,16.8,363.71,rainfed,vegetable
S1083909,wheat,0.326,38.25,155.03,6.55,7.95,9.56,54.98,774.96,17.59,1177.8,rainfed,fallow
S1026973,mustard,0.271,30.67,130.17,5.55,7.43,15.73,64.85,212.23,10.1,1749.48,rainfed,maize
S1007129,soybean,0.154,43.9,112.65,7.08,18.76,8.97,89.23,403.08,22.37,2362.81,rainfed,pulses
S1007144,wheat,0.367,41.88,77.26,6.99,15.02,15.9,77.11,150.86,15.11,2333.98,irrigated,rice
